question,temporality,feature,label,mode,model,f1_train,f1_test
4,False,all,anxiety,t-SNE,LinearSVC,0.5192307692307692,0.4107142857142857
4,False,all,anxiety,t-SNE,GaussianNB,0.5833333333333333,0.36363636363636365
4,False,all,anxiety,t-SNE,GradientBoostingClassifier,1.0,0.26666666666666666
4,False,all,anxiety,t-SNE,HistGradientBoostingClassifier,0.358974358974359,0.3125
4,False,all,anxiety,SMOTE,LogisticRegression,1.0,0.5299145299145299
4,False,all,anxiety,SMOTE,KNeighborsClassifier,1.0,0.6071428571428572
4,False,all,anxiety,SMOTE,DecisionTreeClassifier,1.0,0.5454545454545454
4,False,all,anxiety,SMOTE,RandomForestClassifier,1.0,0.4107142857142857
4,False,all,anxiety,SMOTE,SVC,0.475,0.47619047619047616
4,False,all,anxiety,SMOTE,LinearSVC,0.9642401021711366,0.5299145299145299
4,False,all,anxiety,SMOTE,GaussianNB,0.9642401021711366,0.21428571428571427
4,False,all,anxiety,SMOTE,GradientBoostingClassifier,1.0,0.5454545454545454
4,False,all,anxiety,SMOTE,HistGradientBoostingClassifier,0.3333333333333333,0.35294117647058826
4,False,all,anxiety,Pass,LogisticRegression,1.0,0.5299145299145299
4,False,all,anxiety,Pass,KNeighborsClassifier,1.0,0.6071428571428572
4,False,all,anxiety,Pass,DecisionTreeClassifier,1.0,0.5454545454545454
4,False,all,anxiety,Pass,RandomForestClassifier,1.0,0.47619047619047616
4,False,all,anxiety,Pass,SVC,0.45175438596491224,0.47619047619047616
4,False,all,anxiety,Pass,LinearSVC,0.9589490968801313,0.5299145299145299
4,False,all,anxiety,Pass,GaussianNB,0.9597423510466989,0.21428571428571427
